rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,2995,141,96958.8708,0.0000,96957.3754,2543.2496,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,1266,62,46971.9656,0.0000,46971.1582,52913.0377,49986.9052
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,1242,73,46389.9312,0.0000,46389.2079,53494.5842,50568.9396
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,1245,83,46435.8966,0.0000,46435.0252,53398.3920,50522.9742
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,730,36,15870.1683,0.0000,15869.8855,84386.9295,81088.7025
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,731,46,15892.1453,0.0000,15891.8282,84312.1861,81066.7255
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,730,28,15758.1552,0.0000,15757.8765,84447.1092,81200.7156
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,733,32,15821.3646,0.0000,15821.0352,84382.9023,81137.5062
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,579,22,29689.4989,0.0000,29688.8769,69334.4055,67269.3719
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,580,21,29669.5538,0.0000,29669.1423,69393.3236,67289.3170
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,584,22,29532.6852,0.0000,29532.4055,69538.0061,67426.1856
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,585,34,29824.7663,0.0000,29824.4707,69239.0686,67134.1045
