rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,50,10,1228.9819,0.0000,1228.9595,585.7703,83.5069
1,Phams-MacBook-Air.local,50,0,1241.7768,0.0000,1241.7357,0.0717,70.7120
2,Phams-MacBook-Air.local,50,0,1263.1450,0.0000,1263.1035,0.0800,49.3438
3,Phams-MacBook-Air.local,50,0,1266.8325,0.0000,1266.8005,0.1467,45.6563
4,MacBook-Pro-M4-Pro.local,50,10,1297.4355,0.0000,1297.3902,0.0908,15.0533
5,MacBook-Pro-M4-Pro.local,50,0,1312.4888,0.0000,1312.4630,725.2951,0.0000
6,MacBook-Pro-M4-Pro.local,50,0,1303.1389,0.0000,1303.1185,729.1419,9.3499
7,MacBook-Pro-M4-Pro.local,50,0,1296.5757,0.0000,1296.5418,738.9318,15.9131
8,MacBook-Pro-M4-Pro.local,50,10,1307.3025,0.0000,1307.2732,0.0900,5.1863
9,MacBook-Pro-M4-Pro.local,50,0,1307.2688,0.0000,1307.2404,752.4778,5.2200
10,Nguyens-MacBook-Air-5.local,50,0,1292.2682,0.0000,1292.2259,0.1270,20.2206
11,Nguyens-MacBook-Air-5.local,50,0,1273.2113,0.0000,1273.1825,0.0895,39.2775
