rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,500,100,14640.0970,0.0000,14639.8243,511.4453,654.4662
1,Phams-MacBook-Air.local,500,0,15179.7883,0.0000,15179.5205,0.1050,114.7749
2,Phams-MacBook-Air.local,500,0,14816.1101,0.0000,14815.8531,0.1429,478.4531
3,Phams-MacBook-Air.local,500,0,14752.6288,0.0000,14752.3614,0.1276,541.9344
4,MacBook-Pro-M4-Pro.local,500,100,15216.0273,0.0000,15215.8007,0.0862,78.5359
5,MacBook-Pro-M4-Pro.local,500,0,15294.5632,0.0000,15294.3695,97.2657,0.0000
6,MacBook-Pro-M4-Pro.local,500,0,15194.9661,0.0000,15194.6927,131.1932,99.5971
7,MacBook-Pro-M4-Pro.local,500,0,15268.8677,0.0000,15268.6562,94.0109,25.6955
8,MacBook-Pro-M4-Pro.local,500,100,12471.6111,0.0000,12471.3834,0.0846,2822.9521
9,MacBook-Pro-M4-Pro.local,500,0,12626.3959,0.0000,12626.1890,2596.8090,2668.1673
10,Nguyens-MacBook-Air-5.local,500,0,11667.4804,0.0000,11667.2399,0.0880,3627.0828
11,Nguyens-MacBook-Air-5.local,500,0,11503.3445,0.0000,11503.1118,0.1218,3791.2187
