frame_id,tile_id,rank,x1,y1,x2,y2,conf,cls
0,10,10,24.7563,163.2903,134.8729,381.7996,0.8443,0
0,11,11,171.8144,176.4905,299.4344,365.7403,0.5352,0
1,10,6,24.5368,168.2474,136.2090,382.6554,0.8815,0
1,6,2,177.0665,174.7167,303.7616,370.7328,0.8714,0
2,5,9,33.5183,159.5939,142.2936,384.2186,0.9015,0
2,7,11,375.1427,223.5023,405.5303,291.6848,0.4475,0
2,6,10,188.9332,176.5860,288.6188,371.0519,0.4152,0
3,10,10,35.9414,158.4370,150.8153,387.4603,0.8520,0
3,6,6,192.7144,174.4166,322.2365,363.5373,0.6413,0
3,7,7,383.6660,224.4736,413.6584,292.3916,0.6061,0
4,10,6,47.9244,206.1127,161.9615,391.5507,0.8755,0
4,11,7,207.5570,176.5537,331.7576,380.5052,0.8049,0
4,5,1,45.9455,136.9076,161.6677,333.6599,0.7691,0
4,6,2,329.9578,227.4995,355.4584,298.9870,0.6681,0
4,6,2,370.2531,219.7726,397.6926,296.2363,0.5017,0
4,7,3,400.5842,226.8496,427.9221,295.6889,0.4610,0
5,10,2,49.9659,206.0476,168.0751,393.1946,0.8937,0
5,6,10,210.7469,173.6544,340.3933,382.1626,0.8461,0
5,5,9,48.3229,128.1439,168.5880,333.5709,0.8245,0
5,7,11,407.3363,226.4529,441.3360,297.5242,0.6296,0
5,6,10,336.8663,226.5517,368.8050,297.9972,0.6190,0
5,7,11,380.2619,222.1588,407.4890,295.7279,0.4561,0
6,10,10,54.2292,151.1060,174.4775,394.0349,0.8816,0
6,6,6,219.9611,169.4950,347.9177,382.3800,0.8523,0
6,6,6,345.8497,228.6026,372.4635,296.6154,0.6528,0
6,7,7,416.8013,224.9980,450.3761,295.6191,0.5390,0
6,7,7,387.4049,222.5324,416.2072,293.1454,0.4863,0
7,10,6,56.9173,206.3079,180.6644,397.7938,0.8458,0
7,6,2,235.4965,170.3789,356.7309,387.0652,0.8153,0
7,5,1,47.5557,126.3415,180.7286,333.6712,0.7949,0
7,6,2,355.3504,228.8598,390.0303,299.9977,0.6799,0
7,7,3,432.3428,227.5031,461.6682,298.2604,0.5354,0
7,7,3,398.9846,223.3175,428.5679,298.4642,0.4881,0
8,6,10,239.9417,167.8033,364.6343,388.4359,0.8778,0
8,10,2,66.9901,151.0799,186.3440,398.7648,0.8523,0
8,7,11,437.8284,228.1386,468.1658,296.8640,0.5769,0
8,7,11,406.6313,221.6515,435.8632,298.0230,0.5397,0
8,6,10,363.5146,229.3819,395.6052,299.1299,0.5097,0
8,8,0,582.5793,224.7945,625.1803,286.2829,0.3526,0
9,6,6,250.8158,166.5340,379.3526,389.8295,0.8703,0
9,5,5,83.2975,148.9635,197.5393,333.5767,0.8305,0
9,10,10,76.5243,206.0642,198.1227,399.1810,0.7918,0
9,7,7,378.8379,230.0063,407.9126,298.0192,0.5209,0
9,7,7,456.7505,227.8155,480.9689,296.6046,0.5072,0
9,7,7,418.2506,223.3955,449.4355,297.3107,0.3833,0
9,6,6,212.6058,221.3529,246.9937,299.1317,0.3560,0
10,6,2,256.3335,164.9957,390.8559,392.0725,0.8684,0
10,10,6,78.8548,150.2786,207.9188,400.8263,0.8433,0
10,7,3,387.6845,227.0128,423.1963,298.3184,0.6302,0
10,7,3,468.6436,226.9089,490.7945,297.6614,0.5746,0
10,7,3,488.9838,232.3535,508.7281,281.9787,0.5034,0
10,6,2,231.3305,221.7667,256.0732,297.3047,0.5018,0
10,7,3,431.6285,222.6529,459.2856,298.6600,0.4396,0
11,6,10,272.2482,167.0491,409.9040,398.7525,0.8648,0
11,10,2,94.8083,206.1445,220.4948,407.9994,0.8634,0
11,5,9,92.8353,143.9001,221.8085,333.8972,0.8465,0
11,7,11,405.3453,230.2920,440.7054,300.9767,0.5847,0
11,6,10,247.6883,221.2942,273.3980,300.1083,0.4933,0
11,6,10,229.9529,223.4568,266.3124,299.5657,0.4532,0
11,7,11,505.1095,235.3015,522.7463,284.1036,0.4472,0
11,7,11,478.8286,229.5899,507.0301,300.2567,0.4113,0
12,5,5,100.1656,149.6801,228.7506,333.8275,0.8474,0
12,10,10,99.5277,206.1387,228.0405,409.5327,0.8449,0
12,11,11,277.4550,165.6240,419.6940,400.9120,0.8404,0
12,7,7,413.5756,228.0920,451.3017,301.4715,0.6789,0
12,6,6,245.0212,221.1527,281.6295,299.1273,0.5199,0
12,7,7,487.1159,229.2381,515.5466,301.7156,0.4630,0
13,10,6,115.7725,206.2206,245.9315,412.5761,0.8826,0
13,5,1,120.7438,143.1102,244.8084,333.7330,0.8520,0
13,11,7,295.4665,162.9103,438.8194,402.7346,0.8337,0
13,7,3,430.4782,224.7702,470.4733,301.1614,0.6694,0
13,6,2,259.6704,220.9430,299.9849,299.0772,0.4924,0
13,7,3,505.6236,227.3403,536.8088,301.8551,0.4126,0
13,7,3,475.2379,224.9642,503.6998,300.6069,0.3839,0
14,6,10,126.4897,145.8382,256.8060,333.7097,0.9033,0
14,12,4,312.5370,163.6051,457.0804,408.1715,0.8840,0
14,11,3,125.1527,206.2401,256.7568,418.2937,0.8795,0
14,7,11,445.8483,225.3157,482.3572,301.4608,0.6188,0
14,6,10,278.9846,221.9569,315.2865,300.6151,0.5096,0
14,5,9,0.0000,162.6337,58.9685,333.6384,0.3979,0
14,7,11,522.8214,230.6722,546.8746,301.7249,0.3739,0
15,6,6,131.4228,134.7775,262.0853,333.2606,0.9200,0
15,12,0,319.5359,162.1302,463.5975,406.6728,0.8945,0
15,11,11,135.9592,207.4785,262.8762,416.9497,0.8744,0
15,7,7,453.1419,221.3509,486.3329,298.8538,0.6410,0
15,6,6,279.3829,217.2410,322.7811,298.4238,0.5076,0
15,7,7,498.2382,220.5198,527.5190,297.1769,0.4371,0
15,7,7,534.1468,225.5315,560.4825,300.5232,0.3757,0
15,7,7,519.5183,208.2557,547.5947,298.2123,0.3649,0
16,6,2,129.2344,133.7038,265.2344,333.3748,0.9267,0
16,11,7,135.1047,207.6669,265.3422,419.8907,0.8667,0
16,12,8,328.9044,207.1703,463.2709,409.3014,0.8610,0
16,7,3,325.4942,158.6961,470.7307,333.3528,0.8009,0
16,7,3,459.8424,219.3512,495.8535,298.4202,0.6958,0
16,6,2,285.4852,216.4896,326.4312,296.9485,0.6917,0
16,7,3,505.6213,220.5780,532.7408,297.8140,0.5684,0
16,7,3,533.8473,221.5005,565.3590,296.8258,0.5081,0
17,6,10,125.0864,131.7563,268.1976,333.5676,0.9369,0
17,11,3,126.7444,206.3673,268.5108,425.2926,0.9059,0
17,12,4,327.7110,207.8131,485.5838,415.2575,0.8551,0
17,7,11,325.4722,155.9579,486.8556,332.5054,0.8395,0
17,7,11,466.8955,220.9109,501.5432,299.0661,0.6855,0
17,5,9,0.0000,159.8308,68.8559,332.4732,0.6675,0
17,6,10,291.7239,216.0657,332.1312,297.8638,0.5536,0
17,7,11,535.7836,210.0968,558.4279,246.1828,0.4748,0
18,6,6,120.7438,130.6335,266.6896,333.6804,0.9330,0
18,11,11,123.5873,206.2747,266.5475,425.0339,0.8659,0
18,7,7,324.4646,150.4826,491.2817,331.2146,0.8476,0
18,12,0,324.6789,207.1621,467.9006,415.4767,0.8013,0
18,7,7,466.3299,214.7026,503.3268,297.0094,0.6323,0
18,7,7,535.7359,204.4344,563.3556,239.5351,0.4393,0
18,6,6,292.3080,214.3293,330.8948,294.1722,0.4371,0
19,6,2,113.6670,121.8188,261.3826,333.7927,0.9269,0
19,7,3,323.5584,145.7442,491.7874,331.2195,0.8820,0
19,12,8,325.1984,208.1216,460.0042,415.2117,0.8705,0
19,11,7,124.5189,206.3605,261.6393,426.9937,0.8629,0
19,5,1,60.9829,199.7614,104.2438,287.2911,0.6475,0
19,10,6,93.5702,206.1440,153.4749,373.5681,0.4862,0
19,6,2,292.1211,218.2028,323.6986,292.6562,0.4793,0
19,6,2,317.4727,242.4170,331.5280,294.2140,0.4018,0
20,6,10,108.1719,120.3589,259.4672,333.6560,0.9299,0
20,12,4,328.4467,208.7926,448.2355,420.5887,0.8771,0
20,11,3,109.8511,206.4353,257.8683,432.1912,0.8596,0
20,7,11,323.6750,145.8507,492.5223,329.7965,0.7818,0
20,6,10,290.8036,212.3775,325.0562,293.4110,0.4639,0
21,6,6,103.8893,115.3622,259.3197,333.6558,0.9228,0
21,7,7,323.4223,137.8154,496.4531,330.3807,0.8729,0
21,12,0,322.3593,208.0891,451.8987,423.7550,0.8468,0
21,10,10,107.5286,206.3401,259.1996,434.7063,0.8390,0
21,5,5,0.0000,174.3111,51.1608,333.3870,0.4175,0
21,10,10,84.2145,207.1511,140.0696,377.8169,0.3534,0
22,6,2,105.7081,117.6655,260.5306,333.7076,0.9182,0
22,7,3,326.7342,140.3157,497.8520,330.6629,0.8720,0
22,11,7,104.4887,206.4103,261.1942,445.1776,0.8682,0
22,12,8,323.2055,208.4315,455.9763,433.4987,0.8522,0
22,5,1,0.0000,178.9807,59.5290,409.1250,0.5567,0
22,6,2,299.4814,213.4527,338.5453,296.4338,0.3971,0
23,6,10,107.7416,116.2790,264.1043,333.6931,0.9123,0
23,11,3,105.4434,206.3181,265.9498,448.5878,0.8721,0
23,12,4,345.0599,207.4279,459.6846,437.3249,0.8367,0
23,7,11,340.8175,137.6738,503.4205,330.2319,0.7834,0
23,10,2,78.8085,206.7731,132.6683,388.4798,0.5330,0
23,5,9,0.0000,179.6665,62.4315,333.3275,0.4740,0
24,6,6,105.8917,114.3792,264.5962,333.6498,0.9081,0
24,7,7,307.6376,134.3029,511.0268,332.3916,0.8919,0
24,11,11,101.1979,206.3174,266.4061,457.6442,0.8747,0
24,12,0,356.2961,208.6385,467.7655,445.1816,0.7841,0
24,5,5,0.0000,151.5893,60.6997,333.5432,0.4567,0
25,6,2,90.9615,112.0862,263.1826,333.6538,0.9290,0
25,11,7,91.9069,206.3480,263.5033,462.5914,0.8873,0
25,7,3,346.3575,133.0799,514.0635,329.4124,0.8758,0
25,12,8,357.1804,207.5210,493.1346,448.9470,0.8116,0
25,5,1,0.0000,150.5543,59.2908,333.5366,0.4410,0
26,6,10,84.8675,105.4740,265.1227,333.6191,0.9079,0
26,11,3,85.4495,206.4287,266.3064,465.4336,0.8820,0
26,7,11,325.0582,127.6018,520.9012,331.1586,0.8464,0
26,12,4,357.4310,207.5418,487.8422,453.9868,0.8393,0
26,5,9,0.0000,149.9453,49.6622,333.6522,0.4769,0
27,11,11,85.6632,206.5127,266.5858,469.6368,0.9095,0
27,5,5,84.0281,103.5477,282.3456,333.6694,0.8975,0
27,7,7,361.9926,126.2732,524.9537,330.2314,0.8335,0
27,12,0,362.7341,207.3074,498.5593,458.0497,0.7754,0
27,5,5,0.0000,145.3181,56.3266,333.3696,0.4637,0
28,11,7,78.5456,206.5442,269.0737,475.8770,0.9127,0
28,5,1,79.1826,96.7909,280.4904,333.7512,0.9011,0
28,12,8,367.9635,207.0911,491.0696,460.9820,0.8250,0
28,7,3,344.5060,119.8680,534.5077,329.9641,0.8193,0
28,5,1,0.0000,142.0434,56.6859,333.1660,0.5624,0
29,5,9,76.2733,93.7399,282.8876,333.6802,0.9063,0
29,11,3,76.3800,206.5189,268.7670,482.2612,0.8989,0
29,7,11,365.7894,117.0843,539.2382,330.6523,0.7908,0
29,12,4,366.5058,207.8209,502.1210,463.3348,0.7811,0
30,17,5,362.4733,207.6953,502.8728,473.9803,0.9059,0
30,5,5,66.1674,88.7559,286.1149,333.8191,0.8929,0
30,11,11,69.1749,206.6605,285.8329,488.2194,0.8830,0
30,7,7,360.9935,111.6337,546.4047,330.7694,0.8271,0
