rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,200,200,9336.9204,0.0000,9336.6428,90.8295,33.4319
1,Phams-MacBook-Air.local,200,0,9370.3523,0.0000,9370.1173,0.1251,0.0000
2,Phams-MacBook-Air.local,200,0,9265.9837,0.0000,9265.7910,0.1519,104.3686
3,Phams-MacBook-Air.local,200,0,9302.9294,0.0000,9302.7292,0.1613,67.4229
4,MacBook-Pro-M4-Pro.local,200,200,6193.5806,0.0000,6193.4273,0.0643,3176.7717
5,MacBook-Pro-M4-Pro.local,200,0,6064.8510,0.0000,6064.6853,4136.9860,3305.5013
6,MacBook-Pro-M4-Pro.local,200,0,5002.0226,0.0000,5001.8709,5131.8511,4368.3297
7,MacBook-Pro-M4-Pro.local,200,0,6137.1892,0.0000,6136.9758,4021.7465,3233.1631
8,MacBook-Pro-M4-Pro.local,200,200,6107.2951,0.0000,6107.1361,0.1087,3263.0572
9,MacBook-Pro-M4-Pro.local,200,0,6202.1712,0.0000,6202.0249,4041.6105,3168.1811
10,Nguyens-MacBook-Air-5.local,200,0,4828.2629,0.0000,4828.1205,0.2000,4542.0894
11,Nguyens-MacBook-Air-5.local,200,0,4828.4481,0.0000,4828.3296,0.1452,4541.9042
