rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,2000,400,75491.7791,0.0000,75490.7289,855.2851,853.4499
1,Phams-MacBook-Air.local,2000,0,76309.5027,0.0000,76308.4851,34.2840,35.7263
2,Phams-MacBook-Air.local,2000,0,76345.2290,0.0000,76344.2432,0.4682,0.0000
3,Phams-MacBook-Air.local,2000,0,75305.8789,0.0000,75304.8548,851.4520,1039.3501
4,MacBook-Pro-M4-Pro.local,2000,400,69179.2926,0.0000,69178.5041,7458.2232,7165.9364
5,MacBook-Pro-M4-Pro.local,2000,0,70237.6270,0.0000,70236.8122,6450.5388,6107.6020
6,MacBook-Pro-M4-Pro.local,2000,0,70237.0632,0.0000,70236.2580,6477.9817,6108.1658
7,MacBook-Pro-M4-Pro.local,2000,0,59300.4271,0.0000,59299.5991,17296.4546,17044.8019
8,MacBook-Pro-M4-Pro.local,2000,400,69239.0237,0.0000,69238.2647,7425.7147,7106.2053
9,MacBook-Pro-M4-Pro.local,2000,0,59407.0227,0.0000,59406.1855,17169.1848,16938.2063
10,Nguyens-MacBook-Air-5.local,2000,0,47085.3441,0.0000,47084.5040,28722.8828,29259.8849
11,Nguyens-MacBook-Air-5.local,2000,0,46640.4516,0.0000,46639.3958,28959.7725,29704.7774
