frame_id,tile_id,rank,x1,y1,x2,y2,conf,cls
0,13,1,671.0522,208.6429,751.1088,389.8437,0.8471,0
0,8,0,627.9107,222.7531,643.2447,273.3230,0.8046,0
0,11,3,291.8095,222.3600,336.3102,354.5505,0.7901,0
0,13,1,727.1223,218.2984,798.6999,383.8826,0.6573,0
0,11,3,217.9077,222.0679,272.2648,360.6857,0.6253,0
0,6,2,365.4223,239.6145,383.7803,284.6558,0.5330,0
0,14,2,924.2558,243.0683,952.2262,328.3046,0.3726,0
0,6,2,271.7790,219.1028,293.4547,277.2903,0.3519,0
1,13,1,671.7329,216.0075,754.4150,394.1203,0.8649,0
1,11,3,292.2423,222.4827,336.0926,354.7616,0.8011,0
1,13,1,729.9014,219.3109,799.0066,384.6384,0.7676,0
1,8,0,628.1533,222.9397,644.1992,273.5704,0.7640,0
1,11,3,221.0898,221.0566,275.8103,361.2883,0.7118,0
1,6,2,365.6852,236.5255,383.8823,284.4846,0.5568,0
1,6,2,272.4068,222.6913,293.8950,277.4461,0.4416,0
1,14,2,926.9276,251.6600,952.8647,328.6171,0.3873,0
1,14,2,918.3085,239.1549,940.5239,320.3565,0.3686,0
1,7,3,541.2876,228.4276,566.0358,297.3475,0.3614,0
2,13,1,672.9677,221.5302,757.4026,395.5326,0.8748,0
2,11,3,292.5113,222.7693,336.4209,354.1031,0.7908,0
2,13,1,731.8531,222.7311,802.7037,384.7795,0.7506,0
2,8,0,628.2410,222.9797,644.6031,273.7528,0.7464,0
2,11,3,220.1948,220.9781,276.1765,361.5148,0.7095,0
2,6,2,365.3156,236.5857,384.0171,284.8551,0.6401,0
2,6,2,270.6999,221.4651,293.9257,276.5727,0.4115,0
2,14,2,926.7295,255.9959,951.8015,328.7502,0.4013,0
2,14,2,917.5870,240.2327,939.9075,319.8120,0.3558,0
3,13,1,674.9525,209.9392,760.6566,398.3297,0.8630,0
3,11,3,292.7358,222.9781,336.5367,353.7912,0.7713,0
3,8,0,628.0333,223.0696,645.3321,273.5658,0.7689,0
3,11,3,217.9518,221.1779,278.0404,361.2738,0.7099,0
3,14,2,734.4131,213.2742,801.5583,387.4669,0.7079,0
3,6,2,365.5972,237.5955,384.1276,285.5445,0.6488,0
3,14,2,914.2817,239.9686,940.4120,320.5072,0.4115,0
4,13,1,677.1743,208.3129,762.7207,398.2869,0.8804,0
4,11,3,292.4193,222.8179,336.8331,353.3986,0.7956,0
4,14,2,746.1547,212.8359,798.2015,388.4524,0.7681,0
4,11,3,217.7467,220.7434,282.6617,360.7164,0.7671,0
4,8,0,628.0439,223.2923,645.2461,273.6353,0.7428,0
4,6,2,365.6441,237.8367,384.2833,286.0372,0.6282,0
4,14,2,914.0061,240.0307,940.7181,321.0134,0.4247,0
5,13,1,680.1498,208.5742,763.1190,400.0485,0.8799,0
5,11,3,292.5345,222.7667,337.0215,353.8049,0.7894,0
5,14,2,748.1472,212.4066,799.7627,388.8451,0.7711,0
5,11,3,216.6090,220.2819,283.1116,360.8963,0.7647,0
