rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,28,28,1367.2802,0.0000,1367.2178,2597.1925,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,13,13,715.3212,0.0000,715.2686,3129.8200,651.9590
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,13,13,687.4406,0.0000,687.3805,3158.3222,679.8396
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,12,12,671.2127,0.0000,671.1908,3175.1612,696.0675
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,11,11,221.5682,0.0000,221.5533,5084.7652,1145.7120
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,11,11,222.0464,0.0000,222.0373,5083.7242,1145.2338
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,11,11,221.3603,0.0000,221.3400,5084.7147,1145.9199
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,11,11,222.1638,0.0000,222.1478,5083.9708,1145.1164
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,10,10,358.0489,0.0000,358.0272,3763.5547,1009.2313
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,10,10,371.3978,0.0000,371.3799,3748.5292,995.8824
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,10,10,363.5032,0.0000,363.4932,3757.0122,1003.7770
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,10,10,370.9290,0.0000,370.9150,3750.0720,996.3512
